School Name,Instructor ID,Instructor Last Name,Instructor First Name,User Name,Email Address,Class Name,Student ID,Student Last Name,Student First Name,Student Date Of Birth,Student Gender,Student Grade,Student Ethnic Group Name,Student User Name,School State Code,Previous Instructor ID,Instructor State ID,Instructor Middle Initial,Subject,Previous Student ID,Student State ID,Clever ID,Ed-Fi ID,ClassLink ID,OneRoster ID,Student Information System ID,Student Middle Initial,Student Email
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR165741321,Bronwin,Chloe,1/1/2007,F,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elemfentery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR874256648,Batalas,Jonathan,2/25/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR87425664x,Nguyen,Phuong,10/8/2011,m,3,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,IV8646427,Badaruddin,Zaid,1/3/2013,m,Kindergarten,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR649239098,Ramer,David,5/20/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR792138279,Miller,Laura,1/9/2011,f,2,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR669848822,Light,Justin,1/6/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,BA3475026,Kellogg,Sophie,1/16/2010,f,3,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Weston,Jonah,jonah.weston@nwea.pottsboro.com,jonah.weston@nwea.pottsboro.com,Homeroom,OR447968054,Nafie,Lori,1/10/2011,f,2,Not specified or other,lori.nafie,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270302,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR165741320,Bronwin,Chloe,1/1/2007,F,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR874256648,Batalas,Jonathan,2012/25/5,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR87425664x,Nguyen,Phuong,10/8/2011,m,3,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,IV8646427,Badaruddin,Zaid,1/3/2013,m,Kindergarten,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Homeroom,OR649239098,Ramer,David,5/20/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR792138279,Miller,Laura,1/9/2011,f,2,Not specified or other,,,Sthelse,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR669848822,Light,Justin,1/6/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR065773275,Kellogg,Sophie,1/16/2010,b,3,Not specified or other,,,0,,,,,,,,,,,,
NWEA Training Elementery,OW4270303,Quinn,Bartholomeow,bartholomeow.quinn@nwea.pottsboro.com,bartholomeow.quinn@nwea.pottsboro.com,Mathematics,OR447968054,Nafie,Lori,1/10/2011,f,2,Not specified or other,lori.nafie2,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Quinn,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR165741320,Bronwin,Chloe,1/1/2007,F,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR874256648,Batalas,Jonathan,2/25/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR87425664x,Nguyen,Phuong,10/8/2011,m,3,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,IV8646427,Badaruddin,Zaid,1/3/2013,m,Kindergarten,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR649239098,Ramer,David,5/20/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR792138279,Miller,Laura,1/9/2011,f ,2,gibberish,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR669848822,Light,Justin,1/6/2012, m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR065773275,Kellogg,Sophie,1/16/2010,ff,2,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,OW4270304,Grooten,Nellie Gail,nelliegail.grooten@nwea.pottsboro.com,nelliegail.grooten@nwea.pottsboro.com,Reading,OR447968054,Nafie,Lori,1/10/2011,f,2,Not specified or other,lori.nafie,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,Hyrum,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,OR165741320,Bronwin,Chloe,1/1/2007,F,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,Hyrum,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,OR874256648,Batalas ,Jonathan,2/25/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,Hyrum,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,OR87425664x,Nguyen,Phuong,10/8/2011,m,3,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,Hyrum,hyrum.graff@nwea.pottsboro.com,,Science,IV8646427, Badaruddin,Zaid,1/3/2013,m,Kindergarten,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,Hyrum,,hyrum.graff@nwea.pottsboro.com,,OR649239098,Ramer,David,5/20/2012,m,1,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,,Miller,Laura,1/9/2011,f,2,,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,,Hyrum,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,OR669848822,,Justin,1/6/2012,m,,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,,Graff,Hyrum,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,OR065773275,Kellogg,,1/16/2010,,3,Not specified or other,,,,,,,,,,,,,,,
NWEA Training Elementery,189945,Graff,Hyrum,hyrum.graff@nwea.pottsboro.com,hyrum.graff@nwea.pottsboro.com,Science,OR447968054,Nafie,Lori,,f,2,Not specified or other,lori.nafie,,,,,,,,,,,,,,
